id,autor,orden,aff,aid,pais,orcid
journal-article-10.2307_24541845,"neuman, w. russell",3,NA,NA,NA,0000-0002-4629-9509
journal-article-10.2307_24541846,"hesse, bradford w.",1,NA,NA,NA,0000-0003-1142-1161
journal-article-10.2307_24541846,"moser, richard p.",2,NA,NA,NA,NA
journal-article-10.2307_24541846,"riley, william t.",3,NA,NA,NA,NA
journal-article-10.2307_24541847,"lin, jimmy",1,NA,NA,NA,0000-0003-3865-9778
journal-article-10.2307_24541848,"hindman, matthew",1,NA,NA,NA,0000-0002-4835-7151
journal-article-10.2307_24541849,"hargittai, eszter",1,NA,NA,NA,0000-0003-4199-4868
journal-article-10.2307_24541852,"soroka, stuart",1,NA,NA,NA,0000-0001-7524-0859
journal-article-10.2307_24541852,"young, lori",2,NA,NA,NA,NA
journal-article-10.2307_24541852,"balmas, meital",3,NA,NA,NA,0000-0001-9191-0488
journal-article-10.2307_24541853,"burscher, bjorn",1,NA,NA,NA,NA
journal-article-10.2307_24541853,"vliegenthart, rens",2,NA,NA,NA,0000-0003-2401-2914
journal-article-10.2307_24541853,"de vreese, claes h.",3,NA,NA,NA,NA
journal-article-10.2307_24541854,"driscoll, kevin",1,NA,NA,NA,0000-0003-1864-101X
journal-article-10.2307_24541854,"thorson, kjerstin",2,NA,NA,NA,0000-0002-5762-4688
journal-article-10.2307_24541856,"freelon, deen",1,NA,NA,NA,0000-0001-5055-0316
journal-article-10.2307_24541856,"lynch, marc",2,NA,NA,NA,NA
journal-article-10.2307_24541856,"aday, sean",3,NA,NA,NA,NA
journal-article-10.2307_24541859,"guggenheim, lauren",1,NA,NA,NA,NA
journal-article-10.2307_24541859,"jang, s. mo",2,NA,NA,NA,0000-0003-3277-7706
journal-article-10.2307_24541859,"jang, s. mo",2,NA,NA,NA,0000-0001-9370-3319
journal-article-10.2307_24541859,"bae, soo young",3,NA,NA,NA,0000-0003-0551-7618
journal-article-10.2307_24541859,"bae, soo young",3,NA,NA,NA,0000-0001-5405-7959
journal-article-10.2307_24541859,"bae, soo young",3,NA,NA,NA,0000-0001-8817-9831
journal-article-10.2307_24541859,"bae, soo young",3,NA,NA,NA,0000-0003-0593-3064
journal-article-10.2307_24541859,"neuman, w. russell",4,NA,NA,NA,0000-0002-4629-9509
journal-article-10.2307_24541862,"crosas, mercè",1,NA,NA,NA,0000-0003-1304-1939
journal-article-10.2307_24541862,"king, gary",2,NA,NA,NA,0000-0001-7761-9264
journal-article-10.2307_24541862,"honaker, james",3,NA,NA,NA,0000-0002-5404-539X
journal-article-10.2307_24541862,"sweeney, latanya",4,NA,NA,NA,NA
journal-article-10.2307_24541863,"o'donnell, matthew brook",1,NA,NA,NA,NA
journal-article-10.2307_24541863,"falk, emily b.",2,NA,NA,NA,NA
journal-article-10.2307_24541865,"zamith, rodrigo",1,NA,NA,NA,0000-0001-8114-1734
journal-article-10.2307_24541865,"lewis, seth c.",2,NA,NA,NA,0000-0001-7498-0599
journal-article-10.2307_24545949,"gutsche, tania l.",1,NA,NA,NA,NA
journal-article-10.2307_24545949,"kapteyn, arie",2,NA,NA,NA,0000-0002-1855-5528
journal-article-10.2307_24545949,"meijer, erik",3,NA,NA,NA,0000-0001-6779-0295
journal-article-10.2307_24545949,"weerman, bas",4,NA,NA,NA,NA
journal-article-10.2307_24545956,"sides, john",1,NA,NA,NA,NA
journal-article-10.2307_24546000,"santos, robert l.",1,NA,NA,NA,NA
journal-article-10.2307_24546180,"hur, aram",1,NA,NA,NA,0000-0003-1221-5749
journal-article-10.2307_24557406,"zeitzoff, thomas",1,NA,NA,NA,0000-0003-4889-7198
journal-article-10.2307_24557406,"kelly, john",2,NA,NA,NA,0000-0001-9922-1302
journal-article-10.2307_24557406,"lotan, gilad",3,NA,NA,NA,NA
journal-article-10.2307_24557408,"dafoe, allan",1,NA,NA,NA,0000-0003-0377-205X
journal-article-10.2307_24557408,"lyall, jason",2,NA,NA,NA,0000-0001-9117-7503
journal-article-10.2307_24557411,"buhaug, halvard",1,NA,NA,NA,0000-0002-6432-5985
journal-article-10.2307_24557411,"levy, jack s",2,NA,NA,NA,NA
journal-article-10.2307_24557411,"urdal, henrik",3,NA,NA,NA,0000-0002-6545-2708
journal-article-10.2307_24557414,"schneider, gerald",1,NA,NA,NA,0000-0003-3122-7948
journal-article-10.2307_24557423,"gleditsch, kristian skrede",1,NA,NA,NA,0000-0003-4149-3211
journal-article-10.2307_24557423,"metternich, nils w",2,NA,NA,NA,NA
journal-article-10.2307_24557423,"ruggeri, andrea",3,NA,NA,NA,0000-0001-9750-6099
journal-article-10.2307_24557478,"vance, colin",1,NA,NA,NA,0000-0002-9091-1152
journal-article-10.2307_24557478,"ritter, nolan",2,NA,NA,NA,NA
