document,topic,gamma
scopus_1819,1,0.4320985468153923
scopus_1843,1,0.01104727246468268
scopus_1845,1,0.008050229194640874
scopus_1855,1,0.0012006466228735198
scopus_1862,1,4.8148152681655665e-4
scopus_1874,1,0.0013915144063513483
scopus_1884,1,0.003408163839322931
scopus_1903,1,0.0014666616092763333
scopus_1930,1,0.1319712369936287
scopus_1936,1,0.01032212688466158
scopus_194,1,0.17520147857629562
scopus_1942,1,0.013778813376468291
scopus_1957,1,0.005081297980508291
scopus_1973,1,0.02169283049983617
scopus_1976,1,8.239588736174773e-4
scopus_1979,1,0.027201284076608875
scopus_1981,1,0.029633210482669616
scopus_1996,1,0.03266453550105442
scopus_2004,1,0.012472741056848502
scopus_2029,1,0.01034113926726924
scopus_2032,1,0.003922026622136924
scopus_2051,1,0.010272533778990654
scopus_2058,1,0.2194502809950639
scopus_2086,1,0.0011322134688955545
scopus_210,1,0.030527417868436598
scopus_2114,1,0.060434690922785944
scopus_2125,1,0.12766869419659252
scopus_2131,1,0.01848190985832253
scopus_2152,1,0.4715476933773038
scopus_2158,1,0.0062489905300803835
scopus_2189,1,0.005831038178400716
scopus_2198,1,0.0016365603627620075
scopus_2218,1,0.0018153997951977014
scopus_2223,1,0.032035692233386905
scopus_224,1,0.009414461941344298
scopus_2251,1,0.486738111679138
scopus_226,1,0.0029595861776686304
scopus_2275,1,0.0011902321213529239
scopus_2289,1,0.0034574040355782897
scopus_2346,1,0.46101230751889155
scopus_2349,1,0.021090227068724914
scopus_2359,1,0.02058983232624929
scopus_2374,1,0.006740304391805668
scopus_2393,1,0.09224127806396554
scopus_2399,1,0.293922216341561
scopus_240,1,0.17414271487099572
scopus_2420,1,0.011053737082244849
scopus_2425,1,0.020249420292782806
scopus_2428,1,0.006490840718106049
scopus_2459,1,0.14673278559088843
scopus_2479,1,0.01533045753761651
scopus_2486,1,0.031129883540921017
scopus_2487,1,0.005147164637761752
scopus_2488,1,0.5018841574731154
scopus_2506,1,0.008924517241494153
scopus_2512,1,0.003505042906469522
scopus_2539,1,0.020705772394985538
scopus_2560,1,0.012347511480608338
scopus_2594,1,0.13174846528044548
